ticker,sharpe,avg_pnl,nweek
600007.SS,0.58866508117783745,0.0054880758022172824,400
600030.SS,0.56593910957464511,0.0087464660871596506,400
600039.SS,0.59244183433782338,0.0068588708735279336,400
600064.SS,0.80992470464884558,0.0058934745441975153,400
600067.SS,0.61951073044457017,0.008119581367096132,400
600086.SS,0.71116932424238311,0.0094056028594209223,400
600104.SS,0.56203522593734978,0.0042602256754027609,400
600117.SS,0.6284081819727404,0.0059573928382446947,400
600143.SS,0.59654141606097744,0.0065537768028161329,375
600148.SS,0.51446290491282931,0.008096201738379917,400
600153.SS,0.61296984536928834,0.004046614361767409,400
600186.SS,0.65514559528173233,0.0084327185170200835,400
600202.SS,0.53438158595752672,0.0089129521351484203,400
600252.SS,0.75336454076360682,0.010888933253608454,400
600261.SS,0.6822838449351778,0.0091748311117893291,400
600276.SS,0.51010718730458826,0.0051852893958802496,400
600321.SS,0.64083225720641412,0.0065399644548126039,400
600335.SS,0.6090040278388692,0.011232249984941515,400
600348.SS,0.50530461402484794,0.011905986254456678,400
600353.SS,0.51073312826983741,0.0073870608717844545,400
600376.SS,0.5730826504174984,0.0064298716623907232,400
600379.SS,0.58319909889166144,0.0085417155294039218,400
600390.SS,0.50810583947077104,0.0066127450973274575,400
600489.SS,0.53500873812310601,0.012320585841369611,400
600506.SS,0.55951876222011865,0.0085012449781286682,400
600507.SS,0.57370510173866029,0.0068909841346529071,400
600526.SS,0.58809284442479381,0.0060272538539126582,400
600581.SS,0.55026544100038266,0.0085408449083149932,400
600692.SS,0.65258072579481785,0.0090570617481695089,400
600714.SS,0.52011183127398364,0.0072048839540263402,400
600721.SS,0.55764509111737959,0.0074731670318070485,375
600736.SS,0.5597229524943097,0.0056250292393757546,400
600738.SS,0.60146189650115289,0.0057986445559495585,400
600761.SS,0.64431590969760022,0.0066371063280491862,400
600775.SS,0.58595646084972808,0.0060762167698469394,400
600830.SS,1.0312096101223123,0.0078583477416550099,400
600853.SS,0.56805073656990457,0.0048856943959994141,400
600855.SS,0.64271151449697728,0.0068069761853427647,400
600869.SS,0.59196940499275474,0.010935953217817637,400
600969.SS,0.58344378990716594,0.011515729571001602,400
600971.SS,0.52070064572007813,0.0049898796955369622,375
600976.SS,0.70300726593791985,0.0099952650935710829,375
000046.SZ,0.50291561864929168,0.0069612468943867504,400
000402.SZ,0.78861607853757765,0.013238014051584489,400
000422.SZ,0.73712799215654312,0.0093400225044913913,400
000552.SZ,0.6251045737095593,0.011668201827340444,350
000568.SZ,0.94499175112161649,0.0079218894604672387,400
000593.SZ,0.92175664037545957,0.0084672647457343722,400
000608.SZ,0.53299757578057905,0.010862241873721624,400
000619.SZ,0.74355253598067905,0.0074102739123703713,400
000707.SZ,0.59104311840501234,0.0076658475369616331,400
000713.SZ,0.64715578663518603,0.0069238925671524206,400
000786.SZ,0.51282501982171969,0.0070055663426539161,400
000791.SZ,0.67497577597169955,0.0092916081112166017,400
000812.SZ,0.72244343684240386,0.0069641067095368211,400
000877.SZ,0.87746302183529046,0.013154695607505261,400
000878.SZ,0.56068778124492313,0.0093627210222993768,400
000890.SZ,0.53169619418537262,0.0047736312170358203,400
000900.SZ,0.56612592939327755,0.0045408862976523134,400
000931.SZ,0.52748545313833506,0.0052007269029363343,375
000988.SZ,0.61076154585912223,0.0068803350548002472,400
002005.SZ,0.75512595509785552,0.0085885685482930043,375
002007.SZ,0.71305076028606018,0.01052061958463271,375
